State,Date,Clinton,Sanders,Election_Type,Open_Closed
District of Columbia,June 14,16,4,Primary,Closed
California,June 07,269,206,Primary,Semi-closed
Montana,June 07,10,11,Primary,Open
New Jersey,June 07,79,47,Primary,Closed
North Dakota,June 07,5,13,Primary,Open
New Mexico,June 07,18,16,Primary,Closed
South Dakota,June 07,10,10,Primary,Semi-open
Puerto Rico,June 05,36,24,Primary,Open
Virgin Islands,June 04,7,0,Caucus,Closed
Oregon,May 17,25,36,Primary,Closed
Kentucky,May 17,28,27,Primary,Closed
West Virginia,May 10,11,18,Primary,Semi-closed
Guam,May 07,4,3,Caucus,Closed
Indiana,May 03,39,44,Primary,Open
Rhode Island,April 26,11,13,Primary,Semi-closed
Pennsylvania,April 26,106,83,Primary,Closed
Delaware,April 26,12,9,Primary,Closed
Connecticut,April 26,28,27,Primary,Closed
Maryland,April 26,60,35,Primary,Closed
New York,April 19,139,108,Primary,Closed
Wyoming,April 09,7,7,Caucus,Closed
Wisconsin,April 05,38,48,Primary,Open
Washington,March 26,27,74,Caucus,Open
Hawaii,March 26,8,17,Caucus,Semi-closed
Alaska,March 26,3,13,Caucus,Closed
Utah,March 22,6,27,Caucus,Semi-open
Idaho,March 22,5,18,Caucus,Open
Arizona,March 22,42,33,Primary,Closed
Ohio,March 15,81,62,Primary,Semi-open
North Carolina,March 15,60,47,Primary,Semi-closed
Missouri,March 15,36,35,Primary,Open
Illinois,March 15,79,77,Primary,Open
Florida,March 15,141,73,Primary,Closed
Northern Marianas,March 12,4,2,N/A,N/A
Michigan,March 08,63,67,Primary,Open
Mississippi,March 08,31,5,Primary,Open
Maine,March 06,8,17,Caucus,Closed
Kansas,March 05,10,23,Caucus,Closed
Nebraska,March 05,10,15,Caucus,Closed
Louisiana,March 05,37,14,Primary,Closed
Virginia,March 01,62,33,Primary,Open
Vermont,March 01,0,16,Primary,Open
Texas,March 01,147,75,Primary,Open
Tennessee,March 01,44,23,Primary,Open
Oklahoma,March 01,17,21,Primary,Semi-closed
Minnesota,March 01,31,46,Caucus,Open
Massachusetts,March 01,46,45,Primary,Semi-closed
Georgia,March 01,73,29,Primary,Open
Democrats Abroad,March 1-8,4,9,Primary,Closed
Colorado,March 01,25,41,Caucus,Closed
Arkansas,March 01,22,10,Primary,Open
American Samoa,March 01,4,2,Caucus,Closed
Alabama,March 01,44,9,Primary,Open
South Carolina,February 27,39,14,Primary,Open
Nevada,February 20,20,15,Caucus,Closed
New Hampshire,February 09,9,15,Primary,Semi-closed
Iowa,February 01,23,21,Caucus,Semi-open
